areacode,urban,rural
S00135307,0,62
S00135308,0,33
S00135309,0,71
S00135310,65,0
S00135311,0,64
S00135312,64,0
S00135313,64,0
S00135314,77,0
S00135315,52,0
S00135316,63,0
S00135317,70,0
S00135318,42,0
S00135319,73,0
S00135320,59,0
S00135321,45,0
S00135322,70,0
S00135323,53,0
S00135324,29,0
S00135325,29,0
S00135326,55,0
S00135327,43,0
S00135328,58,0
S00135329,56,0
S00135330,58,0
S00135331,31,0
S00135332,47,0
S00135333,49,0
S00135334,33,0
S00135335,48,0
S00135336,33,0
S00135337,77,0
S00135338,80,0
S00135339,81,0
S00135340,55,0
S00135341,45,0
S00135342,45,0
S00135343,69,0
S00135344,59,0
S00135345,72,0
S00135346,67,0
S00135347,41,0
S00135348,56,0
S00135349,61,0
S00135350,55,0
S00135351,77,0
S00135352,73,0
S00135353,80,0
S00135354,41,0
S00135355,49,0
S00135356,73,0
S00135357,72,0
S00135358,70,0
S00135359,54,0
S00135360,76,0
S00135361,51,0
S00135362,62,0
S00135363,61,0
S00135364,79,0
S00135365,50,0
S00135366,0,55
S00135367,37,0
S00135368,48,0
S00135369,45,0
S00135370,33,0
S00135371,65,0
S00135372,57,0
S00135373,89,0
S00135374,64,0
S00135375,53,0
S00135376,31,0
S00135377,51,0
S00135378,41,0
S00135379,26,0
S00135380,52,0
S00135381,53,0
S00135382,41,0
S00135383,53,0
S00135384,26,0
S00135385,51,0
S00135386,78,0
S00135387,75,0
S00135388,80,0
S00135389,58,0
S00135390,42,0
S00135391,79,0
S00135392,39,0
S00135393,129,0
S00135394,60,0
S00135395,30,0
S00135396,67,0
S00135397,43,0
S00135398,50,0
S00135399,51,0
S00135400,0,73
S00135401,45,0
S00135402,52,0
S00135403,58,0
S00135404,43,0
S00135405,76,0
S00135406,71,0
S00135407,60,0
S00135408,73,0
S00135409,36,0
S00135410,59,0
S00135411,95,0
S00135412,51,0
S00135413,56,0
S00135414,39,0
S00135415,40,0
S00135416,80,0
S00135417,64,0
S00135418,67,0
S00135419,57,0
S00135420,75,0
S00135421,56,0
S00135422,61,0
S00135423,70,0
S00135424,62,0
S00135425,63,0
S00135426,55,0
S00135427,67,0
S00135428,27,0
S00135429,37,0
S00135430,47,0
S00135431,46,0
S00135432,59,0
S00135433,59,0
S00135434,59,0
S00135435,41,0
S00135436,49,0
S00135437,60,0
S00135438,41,0
S00135439,47,0
S00135440,61,0
S00135441,62,0
S00135442,52,0
S00135443,52,0
S00135444,34,0
S00135445,64,0
S00135446,77,0
S00135447,57,0
S00135448,61,0
S00135449,72,0
S00135450,47,0
S00135451,38,0
S00135452,44,0
S00135453,60,0
S00135454,64,0
S00135455,60,0
S00135456,41,0
S00135457,39,0
S00135458,28,0
S00135459,73,0
S00135460,55,0
S00135461,51,0
S00135462,64,0
S00135463,74,0
S00135464,56,0
S00135465,64,0
S00135466,46,0
S00135467,42,0
S00135468,45,0
S00135469,59,0
S00135470,53,0
S00135471,69,0
S00135472,69,0
S00135473,53,0
S00135474,49,0
S00135475,40,0
S00135476,49,0
S00135477,47,0
S00135478,72,0
S00135479,50,0
S00135480,69,0
S00135481,60,0
S00135482,41,0
S00135483,57,0
S00135484,37,0
S00135485,78,0
S00135486,44,0
S00135487,0,71
S00135488,48,0
S00135489,78,0
S00135490,58,0
S00135491,72,0
S00135492,61,0
S00135493,79,0
S00135494,42,0
S00135495,43,0
S00135496,41,0
S00135497,85,0
S00135498,79,0
S00135499,51,0
S00135500,41,0
S00135501,66,0
S00135502,82,0
S00135503,47,0
S00135504,75,0
S00135505,69,0
S00135506,43,0
S00135507,58,0
S00135508,38,0
S00135509,54,0
S00135510,65,0
S00135511,81,0
S00135512,57,0
S00135513,63,0
S00135514,62,0
S00135515,82,0
S00135516,64,0
S00135517,66,0
S00135518,41,0
S00135519,54,0
S00135520,70,0
S00135521,74,0
S00135522,51,0
S00135523,42,0
S00135524,72,0
S00135525,45,0
S00135526,63,0
S00135527,40,0
S00135528,94,0
S00135529,78,0
S00135530,40,0
S00135531,55,0
S00135532,41,0
S00135533,75,0
S00135534,47,0
S00135535,51,0
S00135536,69,0
S00135537,71,0
S00135538,46,0
S00135539,54,0
S00135540,65,0
S00135541,43,0
S00135542,76,0
S00135543,71,0
S00135544,55,0
S00135545,79,0
S00135546,53,0
S00135547,74,0
S00135548,48,0
S00135549,39,0
S00135550,70,0
S00135551,56,0
S00135552,73,0
S00135553,83,0
S00135554,41,0
S00135555,72,0
S00135556,69,0
S00135557,43,0
S00135558,62,0
S00135559,63,0
S00135560,63,0
S00135561,48,0
S00135562,45,0
S00135563,36,0
S00135564,55,0
S00135565,33,0
S00135566,50,0
S00135567,57,0
S00135568,80,0
S00135569,57,0
S00135570,55,0
S00135571,58,0
S00135572,49,0
S00135573,45,0
S00135574,41,0
S00135575,77,0
S00135576,72,0
S00135577,66,0
S00135578,61,0
S00135579,48,0
S00135580,79,0
S00135581,56,0
S00135582,53,0
S00135583,81,0
S00135584,67,0
S00135585,46,0
S00135586,55,0
S00135587,57,0
S00135588,50,0
S00135589,40,0
S00135590,34,0
S00135591,30,0
S00135592,43,0
S00135593,36,0
S00135594,44,0
S00135595,75,0
S00135596,80,0
S00135597,73,0
S00135598,41,0
S00135599,67,0
S00135600,47,0
S00135601,50,0
S00135602,67,0
S00135603,32,0
S00135604,63,0
S00135605,40,0
S00135606,62,0
S00135607,69,0
S00135608,39,0
S00135609,53,0
S00135610,85,0
S00135611,51,0
S00135612,76,0
S00135613,43,0
S00135614,45,0
S00135615,78,0
S00135616,46,0
S00135617,45,0
S00135618,34,0
S00135619,45,0
S00135620,54,0
S00135621,75,0
S00135622,59,0
S00135623,71,0
S00135624,42,0
S00135625,35,0
S00135626,36,0
S00135627,50,0
S00135628,82,0
S00135629,86,0
S00135630,48,0
S00135631,74,0
S00135632,78,0
