areacode,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize_6,hhsize_7,hhsize_8
S00135307,20,23,7,8,3,1,0,0
S00135308,8,18,3,3,0,0,1,0
S00135309,26,31,6,4,1,1,1,1
S00135310,21,23,11,7,1,0,1,1
S00135311,16,20,15,10,2,1,0,0
S00135312,15,17,15,14,2,0,1,0
S00135313,18,25,7,12,2,0,0,0
S00135314,24,26,12,15,0,0,0,0
S00135315,17,16,10,3,5,1,0,0
S00135316,29,18,8,6,1,1,0,0
S00135317,15,37,11,4,2,1,0,0
S00135318,15,17,4,6,0,0,0,0
S00135319,35,23,6,2,4,1,2,0
S00135320,20,21,8,6,2,2,0,0
S00135321,20,18,5,0,2,0,0,0
S00135322,19,29,12,4,5,1,0,0
S00135323,16,25,4,7,1,0,0,0
S00135324,11,8,4,4,1,1,0,0
S00135325,6,10,4,7,0,0,0,2
S00135326,32,13,4,2,1,1,1,1
S00135327,11,16,7,7,2,0,0,0
S00135328,18,27,9,2,2,0,0,0
S00135329,12,23,10,6,5,0,0,0
S00135330,26,21,7,3,0,0,1,0
S00135331,10,11,6,4,0,0,0,0
S00135332,23,14,5,4,1,0,0,0
S00135333,24,9,7,6,3,0,0,0
S00135334,10,12,5,5,1,0,0,0
S00135335,11,12,10,10,3,0,1,1
S00135336,12,7,9,5,0,0,0,0
S00135337,24,39,4,6,1,3,0,0
S00135338,41,18,11,6,1,0,1,2
S00135339,44,25,6,4,2,0,0,0
S00135340,19,17,9,5,1,1,0,3
S00135341,18,13,8,4,1,0,0,1
S00135342,18,15,7,4,0,1,0,0
S00135343,13,27,14,13,1,1,0,0
S00135344,26,14,8,7,3,1,0,0
S00135345,17,28,15,8,2,1,1,0
S00135346,17,35,7,7,0,1,0,0
S00135347,13,14,7,4,3,0,0,0
S00135348,11,24,5,11,5,0,0,0
S00135349,20,25,7,9,0,0,0,0
S00135350,13,18,10,10,3,0,0,1
S00135351,9,22,19,19,7,0,0,1
S00135352,21,31,9,10,1,0,1,0
S00135353,17,11,24,20,3,2,0,3
S00135354,10,13,6,12,0,0,0,0
S00135355,10,15,13,9,1,0,1,0
S00135356,39,20,9,3,0,1,0,1
S00135357,9,10,21,22,5,5,0,0
S00135358,21,36,9,4,0,0,0,0
S00135359,6,34,7,5,1,0,0,1
S00135360,38,30,5,3,0,0,0,0
S00135361,16,22,6,6,1,0,0,0
S00135362,19,29,4,9,0,0,1,0
S00135363,12,22,7,12,8,0,0,0
S00135364,21,40,7,9,0,1,0,1
S00135365,9,25,6,6,2,1,0,1
S00135366,18,26,5,4,0,0,1,1
S00135367,9,17,7,2,2,0,0,0
S00135368,12,15,10,5,3,1,2,0
S00135369,8,16,8,10,1,2,0,0
S00135370,14,15,1,0,2,1,0,0
S00135371,15,24,12,10,1,2,0,1
S00135372,16,14,8,11,8,0,0,0
S00135373,16,36,13,17,4,2,0,1
S00135374,19,21,14,9,0,0,0,1
S00135375,24,13,10,4,2,0,0,0
S00135376,11,10,3,4,3,0,0,0
S00135377,10,23,8,7,1,1,0,1
S00135378,5,10,6,17,2,0,0,1
S00135379,6,10,7,2,1,0,0,0
S00135380,8,20,13,8,1,1,0,1
S00135381,12,16,11,9,1,4,0,0
S00135382,8,17,8,7,1,0,0,0
S00135383,11,13,13,7,6,3,0,0
S00135384,6,6,9,4,0,0,1,0
S00135385,30,7,10,4,0,0,0,0
S00135386,55,16,3,3,1,0,0,0
S00135387,18,36,11,9,1,0,0,0
S00135388,21,25,8,14,9,2,1,0
S00135389,13,27,4,7,5,1,0,1
S00135390,17,9,9,4,1,0,0,2
S00135391,21,21,18,19,0,0,0,0
S00135392,20,11,4,4,0,0,0,0
S00135393,82,25,14,4,1,1,1,1
