areacode,owned_outright,owned_mortgage,private_rented,social_rented
S00135307,30,18,12,2
S00135308,12,12,7,2
S00135309,29,24,10,8
S00135310,28,29,6,2
S00135311,12,27,24,1
S00135312,12,28,6,18
S00135313,24,23,1,16
S00135314,25,33,18,1
S00135315,17,15,0,20
S00135316,32,18,9,4
S00135317,32,19,5,14
S00135318,13,17,1,11
S00135319,19,17,5,32
S00135320,20,17,3,19
S00135321,14,18,8,5
S00135322,17,26,7,20
S00135323,29,19,1,4
S00135324,14,6,2,7
S00135325,12,11,4,2
S00135326,12,14,3,26
S00135327,22,13,0,8
S00135328,27,19,3,9
S00135329,25,19,5,7
S00135330,24,12,8,14
S00135331,13,8,3,7
S00135332,23,9,4,11
S00135333,9,11,7,22
S00135334,21,9,1,2
S00135335,21,21,1,5
S00135336,7,19,2,5
S00135337,28,25,6,18
S00135338,30,20,12,18
S00135339,19,15,10,37
S00135340,24,14,4,13
S00135341,21,11,4,9
S00135342,30,9,1,5
S00135343,7,48,6,8
S00135344,24,18,6,11
S00135345,19,36,12,5
S00135346,49,16,2,0
S00135347,8,32,1,0
S00135348,38,16,1,1
S00135349,30,24,6,1
S00135350,4,44,3,4
S00135351,6,70,1,0
S00135352,47,21,5,0
S00135353,11,64,3,2
S00135354,5,34,1,1
S00135355,5,38,6,0
S00135356,8,36,9,20
S00135357,10,61,0,1
S00135358,3,43,21,3
S00135359,35,17,1,1
S00135360,24,39,9,4
S00135361,33,14,2,2
S00135362,40,16,3,3
S00135363,1,54,2,4
S00135364,53,19,3,4
S00135365,31,16,2,1
S00135366,34,13,8,0
S00135367,25,11,0,1
S00135368,13,31,4,0
S00135369,13,29,2,1
S00135370,16,15,1,1
S00135371,19,41,4,1
S00135372,8,32,17,0
S00135373,45,42,1,1
S00135374,18,41,5,0
S00135375,8,26,17,2
S00135376,16,5,1,9
S00135377,21,25,4,1
S00135378,10,26,4,1
S00135379,15,9,0,2
S00135380,29,21,1,1
S00135381,8,40,5,0
S00135382,15,24,1,1
S00135383,4,40,8,1
S00135384,7,16,2,1
S00135385,1,3,0,47
S00135386,13,10,8,47
S00135387,54,20,1,0
S00135388,23,42,9,6
S00135389,40,16,0,2
S00135390,7,29,6,0
S00135391,25,46,6,2
S00135392,9,20,5,5
S00135393,1,5,0,123
S00135394,32,25,1,2
S00135395,21,7,1,1
S00135396,33,26,5,3
S00135397,6,34,2,1
S00135398,17,27,4,2
S00135399,6,30,12,3
S00135400,30,22,15,6
S00135401,23,21,1,0
S00135402,18,20,13,1
S00135403,23,27,6,2
S00135404,15,23,3,2
S00135405,32,37,2,5
S00135406,47,22,1,1
S00135407,26,31,0,3
S00135408,26,20,5,22
S00135409,24,10,2,0
S00135410,23,30,4,2
S00135411,27,52,15,1
S00135412,33,18,0,0
S00135413,36,18,0,2
S00135414,29,8,0,2
S00135415,19,18,3,0
S00135416,44,31,5,0
S00135417,19,37,7,1
S00135418,20,43,2,2
S00135419,19,19,17,2
S00135420,35,30,1,9
S00135421,20,32,4,0
S00135422,21,31,8,1
S00135423,37,31,1,1
S00135424,31,18,7,6
S00135425,20,16,6,21
S00135426,27,27,1,0
S00135427,59,6,0,2
S00135428,12,13,1,1
S00135429,26,6,3,2
S00135430,25,17,4,1
S00135431,23,15,6,2
S00135432,40,14,4,1
S00135433,42,12,3,2
S00135434,52,5,1,1
S00135435,34,6,0,1
S00135436,25,23,0,1
S00135437,14,27,7,12
S00135438,17,18,1,5
S00135439,33,10,3,1
S00135440,33,21,4,3
S00135441,34,25,2,1
S00135442,23,4,4,21
S00135443,21,25,6,0
S00135444,1,30,3,0
S00135445,40,21,2,1
S00135446,49,24,3,1
S00135447,15,31,7,4
S00135448,7,51,2,1
S00135449,10,9,0,53
S00135450,34,12,0,1
S00135451,26,11,1,0
S00135452,18,14,6,6
S00135453,6,33,8,13
S00135454,14,39,10,1
S00135455,28,26,4,2
S00135456,14,22,2,3
S00135457,20,15,3,1
S00135458,8,16,4,0
S00135459,27,18,6,22
S00135460,27,25,2,1
S00135461,25,24,0,2
S00135462,42,16,6,0
S00135463,35,32,7,0
S00135464,15,23,9,9
S00135465,29,16,2,17
S00135466,26,16,2,2
S00135467,19,17,3,3
S00135468,10,34,1,0
S00135469,45,11,2,1
S00135470,28,20,4,1
S00135471,16,32,5,16
S00135472,32,26,2,9
S00135473,26,24,1,2
S00135474,9,37,1,2
S00135475,15,20,2,3
S00135476,28,18,3,0
S00135477,7,37,2,1
S00135478,8,10,2,52
S00135479,31,18,0,1
S00135480,26,34,9,0
S00135481,45,14,0,1
S00135482,17,14,1,9
S00135483,35,17,4,1
S00135484,24,11,2,0
S00135485,43,27,4,4
S00135486,24,15,5,0
S00135487,44,21,5,1
S00135488,18,22,2,6
S00135489,2,12,17,47
S00135490,32,23,2,1
S00135491,3,12,57,0
S00135492,32,18,3,8
S00135493,4,37,18,20
S00135494,32,9,1,0
S00135495,22,17,3,1
S00135496,22,19,0,0
S00135497,48,35,1,1
S00135498,0,3,75,1
S00135499,28,16,5,2
S00135500,1,37,2,1
S00135501,46,16,3,1
S00135502,0,2,77,3
S00135503,34,9,2,2
S00135504,60,9,5,1
S00135505,16,46,2,5
S00135506,15,24,4,0
S00135507,24,29,4,1
S00135508,9,16,9,4
S00135509,34,19,1,0
S00135510,24,25,13,3
S00135511,27,37,15,2
S00135512,31,22,4,0
S00135513,21,19,4,19
S00135514,24,18,5,15
S00135515,56,22,0,4
S00135516,3,24,24,13
S00135517,14,36,13,3
S00135518,17,20,3,1
S00135519,34,18,2,0
S00135520,23,32,7,8
S00135521,8,14,37,15
S00135522,23,24,4,0
S00135523,31,6,0,5
S00135524,31,29,8,4
S00135525,2,40,3,0
S00135526,25,22,5,11
S00135527,15,8,3,14
S00135528,40,20,8,26
S00135529,48,22,2,6
S00135530,18,10,2,10
S00135531,28,12,9,6
S00135532,8,23,7,3
S00135533,26,31,12,6
S00135534,15,28,3,1
S00135535,12,35,3,1
S00135536,3,44,3,19
S00135537,43,24,3,1
S00135538,34,10,0,2
S00135539,9,14,2,29
S00135540,38,25,1,1
S00135541,32,11,0,0
S00135542,2,43,2,29
S00135543,2,64,4,1
S00135544,24,10,6,15
S00135545,36,34,9,0
S00135546,15,15,2,21
S00135547,31,38,2,3
S00135548,14,16,7,11
