id,Ages1_urbanrural%urban,Ages1_urbanrural%rural,s2_hh_size%hhsize_1,s2_hh_size%hhsize_2,s2_hh_size%hhsize_3,s2_hh_size%hhsize_4,s2_hh_size%hhsize_5,s2_hh_size%hhsize_6,s2_hh_size%hhsize_7,s2_hh_size%hhsize_8,s3_hhtenure%owned_outright,s3_hhtenure%owned_mortgage,s3_hhtenure%private_rented,s3_hhtenure%social_rented
68006826,1,0,0,1,0,0,0,0,0,0,0,0,1,0
68013626,1,0,1,0,0,0,0,0,0,0,0,1,0,0
68020426,1,0,0,0,0,1,0,0,0,0,1,0,0,0
68027226,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68047626,1,0,0,0,0,0,1,0,0,0,0,1,0,0
68054426,1,0,0,0,0,0,1,0,0,0,0,0,1,0
68061226,1,0,1,0,0,0,0,0,0,0,0,0,0,1
68068026,0,1,0,0,0,1,0,0,0,0,0,1,0,0
68088426,0,1,0,0,0,1,0,0,0,0,0,1,0,0
68115626,1,0,1,0,0,0,0,0,0,0,0,0,0,1
68129226,1,0,1,0,0,0,0,0,0,0,0,0,1,0
68136026,0,1,0,1,0,0,0,0,0,0,1,0,0,0
68149626,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68156426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68163226,1,0,0,0,0,0,1,0,0,0,0,0,0,1
68170026,0,1,0,1,0,0,0,0,0,0,1,0,0,0
68197226,0,1,0,0,1,0,0,0,0,0,0,1,0,0
68204026,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68210826,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68217626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68224426,1,0,0,0,1,0,0,0,0,0,0,1,0,0
68244826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68251626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68265226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68272026,1,0,0,0,1,0,0,0,0,0,0,0,1,0
68285626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68306026,1,0,0,1,0,0,0,0,0,0,0,0,0,1
68312826,1,0,0,0,1,0,0,0,0,0,0,1,0,0
68319626,1,0,0,0,0,0,0,1,0,0,0,1,0,0
68333226,0,1,0,1,0,0,0,0,0,0,0,1,0,0
68340026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68346826,1,0,0,0,0,1,0,0,0,0,0,1,0,0
68353626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68360426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68361106,1,0,1,0,0,0,0,0,0,0,0,1,0,0
68367226,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68374026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68380826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68387626,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68394426,1,0,0,0,1,0,0,0,0,0,0,1,0,0
68401226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68408026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68435226,1,0,0,0,0,1,0,0,0,0,0,1,0,0
68448826,1,0,0,0,1,0,0,0,0,0,0,1,0,0
68455626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68462426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68469226,1,0,1,0,0,0,0,0,0,0,0,1,0,0
68476026,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68482826,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68489626,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68503226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68510026,1,0,0,0,0,1,0,0,0,0,1,0,0,0
68516826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68530426,1,0,0,0,0,1,0,0,0,0,0,1,0,0
68544026,1,0,0,0,0,1,0,0,0,0,1,0,0,0
68550826,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68557626,1,0,0,0,0,0,0,1,0,0,0,0,0,1
68564426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68571226,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68578026,1,0,0,0,0,0,1,0,0,0,0,1,0,0
68584826,1,0,0,0,0,1,0,0,0,0,0,1,0,0
68591626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68598426,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68605226,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68618826,1,0,0,0,1,0,0,0,0,0,0,1,0,0
68625626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68632426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68639226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68646026,1,0,0,1,0,0,0,0,0,0,0,0,0,1
68659626,1,0,1,0,0,0,0,0,0,0,0,1,0,0
68660306,1,0,1,0,0,0,0,0,0,0,0,1,0,0
68666426,1,0,0,0,0,1,0,0,0,0,0,0,1,0
68680026,1,0,0,0,1,0,0,0,0,0,1,0,0,0
68700426,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68714026,1,0,1,0,0,0,0,0,0,0,0,0,1,0
68720826,1,0,0,0,0,1,0,0,0,0,1,0,0,0
68727626,1,0,0,0,0,1,0,0,0,0,0,1,0,0
68734426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68741226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68748026,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68768426,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68788826,1,0,0,0,0,1,0,0,0,0,1,0,0,0
68795626,0,1,1,0,0,0,0,0,0,0,0,0,1,0
68802426,1,0,0,1,0,0,0,0,0,0,0,0,0,1
68816026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68822826,0,1,1,0,0,0,0,0,0,0,0,1,0,0
68829626,1,0,0,0,1,0,0,0,0,0,0,1,0,0
68843226,0,1,0,1,0,0,0,0,0,0,1,0,0,0
68863626,0,1,1,0,0,0,0,0,0,0,1,0,0,0
68870426,1,0,1,0,0,0,0,0,0,0,0,1,0,0
68877226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68884026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68890826,1,0,0,0,0,1,0,0,0,0,0,1,0,0
68897626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68904426,1,0,0,0,0,0,0,1,0,0,1,0,0,0
68911226,1,0,0,0,0,1,0,0,0,0,1,0,0,0
68918026,1,0,0,1,0,0,0,0,0,0,0,1,0,0
68924826,1,0,0,0,0,0,1,0,0,0,0,1,0,0
68931626,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68938426,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68945226,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68958826,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68965626,1,0,1,0,0,0,0,0,0,0,1,0,0,0
68972426,1,0,0,0,1,0,0,0,0,0,0,0,0,1
68979226,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68986026,1,0,0,1,0,0,0,0,0,0,1,0,0,0
