hidp,s1_urbanrural,s2_hh_size,s3_hhtenure
68006826,urban,hhsize_2,private_rented
68013626,urban,hhsize_1,owned_mortgage
68020426,urban,hhsize_4,owned_outright
68027226,urban,hhsize_2,owned_mortgage
68047626,urban,hhsize_5,owned_mortgage
68054426,urban,hhsize_5,private_rented
68061226,urban,hhsize_1,social_rented
68068026,rural,hhsize_4,owned_mortgage
68088426,rural,hhsize_4,owned_mortgage
68115626,urban,hhsize_1,social_rented
68129226,urban,hhsize_1,private_rented
68136026,rural,hhsize_2,owned_outright
68149626,urban,hhsize_3,owned_outright
68156426,urban,hhsize_2,owned_outright
68163226,urban,hhsize_5,social_rented
68170026,rural,hhsize_2,owned_outright
68197226,rural,hhsize_3,owned_mortgage
68204026,urban,hhsize_3,owned_outright
68210826,urban,hhsize_3,owned_outright
68217626,urban,hhsize_2,owned_outright
68224426,urban,hhsize_3,owned_mortgage
68244826,urban,hhsize_2,owned_outright
68251626,urban,hhsize_2,owned_outright
68265226,urban,hhsize_1,owned_outright
68272026,urban,hhsize_3,private_rented
68285626,urban,hhsize_1,owned_outright
68306026,urban,hhsize_2,social_rented
68312826,urban,hhsize_3,owned_mortgage
68319626,urban,hhsize_6,owned_mortgage
68333226,rural,hhsize_2,owned_mortgage
68340026,urban,hhsize_1,owned_outright
68346826,urban,hhsize_4,owned_mortgage
68353626,urban,hhsize_1,owned_outright
68360426,urban,hhsize_2,owned_outright
68361106,urban,hhsize_1,owned_mortgage
68367226,urban,hhsize_2,owned_mortgage
68374026,urban,hhsize_1,owned_outright
68380826,urban,hhsize_2,owned_outright
68387626,urban,hhsize_2,owned_mortgage
68394426,urban,hhsize_3,owned_mortgage
68401226,urban,hhsize_1,owned_outright
68408026,urban,hhsize_1,owned_outright
68435226,urban,hhsize_4,owned_mortgage
68448826,urban,hhsize_3,owned_mortgage
68455626,urban,hhsize_2,owned_outright
68462426,urban,hhsize_2,owned_outright
68469226,urban,hhsize_1,owned_mortgage
68476026,urban,hhsize_3,owned_outright
68482826,urban,hhsize_3,owned_outright
68489626,urban,hhsize_2,owned_mortgage
68503226,urban,hhsize_2,owned_outright
68510026,urban,hhsize_4,owned_outright
68516826,urban,hhsize_2,owned_mortgage
68530426,urban,hhsize_4,owned_mortgage
68544026,urban,hhsize_4,owned_outright
68550826,urban,hhsize_2,owned_mortgage
68557626,urban,hhsize_6,social_rented
68564426,urban,hhsize_1,owned_outright
68571226,urban,hhsize_2,owned_mortgage
68578026,urban,hhsize_5,owned_mortgage
68584826,urban,hhsize_4,owned_mortgage
68591626,urban,hhsize_1,owned_outright
68598426,urban,hhsize_3,owned_outright
68605226,urban,hhsize_2,owned_mortgage
68618826,urban,hhsize_3,owned_mortgage
68625626,urban,hhsize_2,owned_outright
68632426,urban,hhsize_2,owned_outright
68639226,urban,hhsize_2,owned_outright
68646026,urban,hhsize_2,social_rented
68659626,urban,hhsize_1,owned_mortgage
68660306,urban,hhsize_1,owned_mortgage
68666426,urban,hhsize_4,private_rented
68680026,urban,hhsize_3,owned_outright
68700426,urban,hhsize_1,owned_outright
68714026,urban,hhsize_1,private_rented
68720826,urban,hhsize_4,owned_outright
68727626,urban,hhsize_4,owned_mortgage
68734426,urban,hhsize_2,owned_outright
68741226,urban,hhsize_1,owned_outright
68748026,urban,hhsize_1,owned_outright
68768426,urban,hhsize_2,owned_mortgage
68788826,urban,hhsize_4,owned_outright
68795626,rural,hhsize_1,private_rented
68802426,urban,hhsize_2,social_rented
68816026,urban,hhsize_2,owned_outright
68822826,rural,hhsize_1,owned_mortgage
68829626,urban,hhsize_3,owned_mortgage
68843226,rural,hhsize_2,owned_outright
68863626,rural,hhsize_1,owned_outright
68870426,urban,hhsize_1,owned_mortgage
68877226,urban,hhsize_1,owned_outright
68884026,urban,hhsize_2,owned_outright
68890826,urban,hhsize_4,owned_mortgage
68897626,urban,hhsize_1,owned_outright
68904426,urban,hhsize_6,owned_outright
68911226,urban,hhsize_4,owned_outright
68918026,urban,hhsize_2,owned_mortgage
68924826,urban,hhsize_5,owned_mortgage
68931626,urban,hhsize_2,owned_outright
68938426,urban,hhsize_2,owned_outright
68945226,urban,hhsize_1,owned_outright
68958826,urban,hhsize_2,owned_outright
68965626,urban,hhsize_1,owned_outright
68972426,urban,hhsize_3,social_rented
68979226,urban,hhsize_2,owned_outright
68986026,urban,hhsize_2,owned_outright
68992826,urban,hhsize_2,owned_outright
69006426,urban,hhsize_2,private_rented
69026826,urban,hhsize_3,private_rented
69054026,urban,hhsize_5,owned_mortgage
69060826,urban,hhsize_1,owned_outright
69067626,urban,hhsize_2,owned_outright
69074426,urban,hhsize_4,owned_mortgage
69081226,urban,hhsize_4,owned_mortgage
69088026,urban,hhsize_1,owned_outright
69094826,urban,hhsize_1,owned_outright
69108426,urban,hhsize_3,owned_mortgage
69115226,urban,hhsize_3,owned_mortgage
69122026,urban,hhsize_3,owned_mortgage
69128826,urban,hhsize_2,owned_mortgage
69135626,urban,hhsize_6,owned_mortgage
69142426,urban,hhsize_4,owned_mortgage
69156026,urban,hhsize_1,social_rented
69176426,urban,hhsize_3,owned_mortgage
69183226,urban,hhsize_4,owned_mortgage
69196826,urban,hhsize_4,owned_outright
69203626,rural,hhsize_5,owned_mortgage
69210426,urban,hhsize_1,private_rented
69217226,urban,hhsize_1,private_rented
69224026,urban,hhsize_2,owned_outright
69230826,rural,hhsize_1,owned_outright
69237626,rural,hhsize_2,owned_outright
69264826,urban,hhsize_3,private_rented
69271626,rural,hhsize_3,owned_outright
69278426,urban,hhsize_5,owned_outright
69285226,urban,hhsize_1,owned_outright
69292026,urban,hhsize_2,owned_outright
69298826,urban,hhsize_4,owned_mortgage
69305626,urban,hhsize_2,owned_mortgage
69312426,urban,hhsize_1,owned_outright
69319226,rural,hhsize_3,private_rented
69332826,urban,hhsize_2,owned_outright
69339626,urban,hhsize_1,owned_outright
69346426,urban,hhsize_1,social_rented
69353226,urban,hhsize_2,owned_outright
69360026,urban,hhsize_2,owned_outright
69366826,urban,hhsize_2,social_rented
69373626,urban,hhsize_1,owned_outright
69380426,urban,hhsize_2,social_rented
69387226,urban,hhsize_2,social_rented
69394026,urban,hhsize_2,private_rented
69407626,urban,hhsize_1,private_rented
69414426,urban,hhsize_1,owned_outright
69421226,urban,hhsize_1,private_rented
69434826,urban,hhsize_1,private_rented
69441626,urban,hhsize_2,owned_mortgage
69448426,urban,hhsize_3,social_rented
69455226,urban,hhsize_2,owned_outright
69462026,urban,hhsize_2,owned_outright
69475626,urban,hhsize_1,owned_outright
69482426,urban,hhsize_3,owned_outright
69489226,urban,hhsize_4,owned_mortgage
69502826,urban,hhsize_1,owned_outright
69509626,urban,hhsize_4,owned_mortgage
69516426,urban,hhsize_1,owned_outright
69523226,urban,hhsize_1,private_rented
69550426,urban,hhsize_1,private_rented
69564026,urban,hhsize_3,owned_mortgage
69564706,urban,hhsize_1,private_rented
69570826,urban,hhsize_2,owned_mortgage
69598026,urban,hhsize_1,owned_outright
69604826,urban,hhsize_2,owned_mortgage
69611626,urban,hhsize_1,social_rented
69618426,rural,hhsize_5,owned_mortgage
69638826,rural,hhsize_2,owned_outright
69645626,rural,hhsize_4,owned_mortgage
69652426,urban,hhsize_1,social_rented
69659226,urban,hhsize_2,social_rented
69666026,urban,hhsize_2,social_rented
69672826,urban,hhsize_1,private_rented
69679626,urban,hhsize_6,owned_mortgage
69686426,urban,hhsize_1,social_rented
69693226,urban,hhsize_1,owned_mortgage
69700026,rural,hhsize_2,social_rented
69706826,urban,hhsize_2,private_rented
69713626,rural,hhsize_1,social_rented
69720426,rural,hhsize_2,owned_outright
69727226,rural,hhsize_3,owned_outright
69734026,urban,hhsize_1,private_rented
69740826,urban,hhsize_3,owned_mortgage
69754426,urban,hhsize_2,owned_outright
69761226,urban,hhsize_2,owned_outright
69768026,urban,hhsize_2,private_rented
69774826,urban,hhsize_4,owned_outright
69781626,urban,hhsize_2,owned_mortgage
69795226,urban,hhsize_3,owned_mortgage
69802026,urban,hhsize_1,owned_outright
69815626,rural,hhsize_3,owned_mortgage
69822426,rural,hhsize_3,owned_outright
69829226,rural,hhsize_1,owned_outright
69836026,urban,hhsize_2,owned_mortgage
69842826,urban,hhsize_1,owned_outright
69849626,rural,hhsize_2,owned_outright
69863226,rural,hhsize_2,owned_outright
69870026,rural,hhsize_5,owned_outright
69883626,urban,hhsize_4,private_rented
69890426,urban,hhsize_2,owned_outright
69904026,rural,hhsize_1,owned_outright
69910826,urban,hhsize_1,social_rented
69917626,rural,hhsize_2,owned_outright
69924426,rural,hhsize_2,private_rented
69931226,rural,hhsize_4,owned_outright
69938026,rural,hhsize_2,owned_outright
69958426,urban,hhsize_2,owned_outright
69965226,urban,hhsize_4,private_rented
69972026,urban,hhsize_2,social_rented
69978826,urban,hhsize_2,owned_mortgage
69985626,urban,hhsize_1,private_rented
69999226,urban,hhsize_3,owned_outright
70006026,urban,hhsize_2,owned_outright
70012826,urban,hhsize_2,owned_outright
70019626,urban,hhsize_2,owned_outright
70026426,urban,hhsize_3,social_rented
70033226,urban,hhsize_1,owned_mortgage
70040026,urban,hhsize_2,owned_outright
70046826,urban,hhsize_2,owned_outright
70053626,rural,hhsize_2,owned_outright
70060426,rural,hhsize_1,private_rented
70067226,rural,hhsize_4,social_rented
70080826,rural,hhsize_2,private_rented
70087626,rural,hhsize_1,owned_outright
70094426,rural,hhsize_2,social_rented
70101226,rural,hhsize_1,owned_mortgage
70108026,urban,hhsize_2,owned_mortgage
70114826,urban,hhsize_4,owned_mortgage
70121626,urban,hhsize_3,social_rented
70128426,urban,hhsize_1,owned_outright
70135226,rural,hhsize_3,owned_outright
70142026,rural,hhsize_2,owned_mortgage
70148826,rural,hhsize_2,owned_outright
70155626,rural,hhsize_2,owned_outright
70162426,urban,hhsize_1,owned_mortgage
70169226,urban,hhsize_2,owned_mortgage
70176026,urban,hhsize_2,owned_outright
70182826,urban,hhsize_2,private_rented
70189626,urban,hhsize_3,owned_mortgage
70196426,urban,hhsize_2,owned_outright
70203226,urban,hhsize_3,owned_mortgage
70210026,urban,hhsize_1,social_rented
70216826,rural,hhsize_4,owned_mortgage
70223626,rural,hhsize_1,owned_mortgage
70257626,urban,hhsize_3,owned_outright
70264426,urban,hhsize_6,social_rented
70271226,urban,hhsize_1,social_rented
70284826,urban,hhsize_2,owned_outright
70291626,urban,hhsize_3,owned_outright
70298426,urban,hhsize_1,owned_outright
70305226,urban,hhsize_5,private_rented
70312026,urban,hhsize_5,owned_outright
70318826,urban,hhsize_4,owned_mortgage
70319506,urban,hhsize_1,private_rented
70332426,urban,hhsize_4,owned_outright
70339226,urban,hhsize_1,owned_outright
70346026,urban,hhsize_4,private_rented
70359626,urban,hhsize_2,private_rented
70373226,urban,hhsize_4,owned_mortgage
70386826,urban,hhsize_2,owned_outright
70393626,urban,hhsize_5,owned_outright
70414026,urban,hhsize_1,owned_mortgage
70420826,urban,hhsize_2,owned_mortgage
70427626,urban,hhsize_1,owned_outright
70448026,urban,hhsize_2,owned_outright
70454826,urban,hhsize_2,owned_mortgage
70461626,urban,hhsize_4,owned_mortgage
70475226,urban,hhsize_3,owned_outright
70482026,urban,hhsize_1,owned_outright
70495626,rural,hhsize_1,owned_outright
70502426,urban,hhsize_4,social_rented
70509226,rural,hhsize_1,owned_mortgage
70516026,rural,hhsize_2,social_rented
70536426,urban,hhsize_3,owned_mortgage
70543226,rural,hhsize_2,owned_outright
70550026,urban,hhsize_2,owned_outright
70556826,urban,hhsize_2,owned_outright
70563626,urban,hhsize_1,owned_mortgage
70570426,urban,hhsize_4,private_rented
70577226,urban,hhsize_2,private_rented
70584026,urban,hhsize_1,owned_outright
70597626,urban,hhsize_2,owned_outright
70611226,rural,hhsize_3,owned_outright
70618026,rural,hhsize_2,owned_mortgage
70624826,rural,hhsize_2,private_rented
70638426,rural,hhsize_2,owned_mortgage
70645226,rural,hhsize_3,owned_mortgage
70652026,rural,hhsize_1,owned_outright
70658826,rural,hhsize_2,owned_outright
70665626,rural,hhsize_2,owned_mortgage
70672426,urban,hhsize_1,private_rented
70686026,urban,hhsize_1,private_rented
70692826,rural,hhsize_4,owned_mortgage
70706426,urban,hhsize_6,social_rented
70713226,rural,hhsize_2,owned_mortgage
70720026,urban,hhsize_1,social_rented
70726826,rural,hhsize_4,social_rented
70747226,urban,hhsize_4,owned_mortgage
70754026,urban,hhsize_4,owned_mortgage
70760826,urban,hhsize_1,social_rented
70767626,urban,hhsize_2,owned_outright
70781226,urban,hhsize_4,owned_mortgage
70788026,urban,hhsize_4,owned_mortgage
70794826,urban,hhsize_4,owned_outright
70801626,urban,hhsize_1,owned_outright
70815226,rural,hhsize_1,owned_outright
70828826,rural,hhsize_2,owned_mortgage
70835626,rural,hhsize_3,owned_mortgage
70849226,rural,hhsize_1,owned_outright
70862826,urban,hhsize_2,owned_mortgage
70876426,urban,hhsize_3,owned_outright
70883226,urban,hhsize_2,private_rented
70896826,urban,hhsize_3,owned_outright
70910426,rural,hhsize_1,owned_mortgage
70917226,urban,hhsize_2,owned_mortgage
70924026,urban,hhsize_1,owned_mortgage
70930826,rural,hhsize_2,owned_outright
70937626,urban,hhsize_2,owned_outright
70944426,rural,hhsize_3,owned_outright
70951226,urban,hhsize_1,owned_outright
70964826,urban,hhsize_1,owned_mortgage
70971626,urban,hhsize_1,owned_mortgage
70978426,urban,hhsize_2,social_rented
71005626,rural,hhsize_4,owned_mortgage
71012426,urban,hhsize_2,owned_outright
71019226,urban,hhsize_2,private_rented
71032826,urban,hhsize_2,owned_outright
71039626,urban,hhsize_2,owned_outright
71053226,urban,hhsize_1,owned_outright
71060026,urban,hhsize_4,owned_mortgage
71066826,urban,hhsize_3,private_rented
71073626,urban,hhsize_2,owned_outright
71080426,rural,hhsize_3,owned_mortgage
71094026,urban,hhsize_2,social_rented
71100826,urban,hhsize_1,owned_outright
71107626,rural,hhsize_1,owned_mortgage
71121226,urban,hhsize_1,owned_outright
71128026,urban,hhsize_2,owned_mortgage
71134826,urban,hhsize_1,social_rented
71141626,urban,hhsize_1,private_rented
71148426,urban,hhsize_2,owned_outright
71155226,urban,hhsize_3,owned_mortgage
71162026,urban,hhsize_3,social_rented
71168826,urban,hhsize_4,owned_outright
71169506,urban,hhsize_1,private_rented
71175626,urban,hhsize_4,owned_mortgage
71182426,urban,hhsize_2,owned_mortgage
71189226,rural,hhsize_2,owned_outright
71196026,rural,hhsize_4,owned_mortgage
71202826,urban,hhsize_2,owned_outright
71209626,urban,hhsize_2,owned_outright
71223226,urban,hhsize_1,owned_mortgage
71236826,rural,hhsize_1,owned_mortgage
71243626,urban,hhsize_3,owned_outright
71250426,rural,hhsize_4,owned_mortgage
71264026,rural,hhsize_3,owned_mortgage
71270826,rural,hhsize_3,private_rented
71277626,rural,hhsize_2,owned_mortgage
71284426,rural,hhsize_3,owned_mortgage
71291226,rural,hhsize_1,owned_outright
71311626,urban,hhsize_4,owned_mortgage
71318426,rural,hhsize_1,owned_mortgage
71325226,rural,hhsize_1,owned_outright
71332026,urban,hhsize_1,owned_outright
71338826,urban,hhsize_4,owned_outright
71345626,urban,hhsize_1,owned_outright
71352426,urban,hhsize_2,owned_outright
71359226,urban,hhsize_1,owned_outright
71366026,urban,hhsize_1,social_rented
71372826,urban,hhsize_1,owned_mortgage
71379626,urban,hhsize_2,owned_mortgage
71386426,urban,hhsize_4,owned_mortgage
71400026,urban,hhsize_4,social_rented
71420426,urban,hhsize_2,private_rented
71427226,urban,hhsize_2,social_rented
71447626,urban,hhsize_5,social_rented
71461226,urban,hhsize_6,owned_mortgage
71468026,urban,hhsize_6,private_rented
71474826,urban,hhsize_1,owned_outright
71495226,urban,hhsize_1,private_rented
71502026,urban,hhsize_3,social_rented
71515626,urban,hhsize_4,owned_mortgage
71522426,urban,hhsize_5,owned_mortgage
71536026,urban,hhsize_2,owned_outright
71542826,urban,hhsize_6,owned_outright
71549626,urban,hhsize_2,social_rented
71556426,urban,hhsize_4,owned_mortgage
71563226,urban,hhsize_1,social_rented
71570026,urban,hhsize_1,owned_mortgage
71583626,urban,hhsize_1,social_rented
71590426,urban,hhsize_5,owned_mortgage
71604026,urban,hhsize_1,social_rented
71610826,urban,hhsize_4,owned_mortgage
71631226,urban,hhsize_5,owned_outright
71638026,urban,hhsize_2,social_rented
71665226,urban,hhsize_2,owned_outright
71678826,urban,hhsize_1,owned_outright
71685626,urban,hhsize_3,owned_mortgage
71699226,urban,hhsize_2,owned_mortgage
71712826,urban,hhsize_1,owned_outright
71719626,urban,hhsize_3,social_rented
71726426,urban,hhsize_2,private_rented
71733226,urban,hhsize_4,owned_mortgage
71740026,urban,hhsize_2,owned_outright
71746826,urban,hhsize_5,owned_outright
71767226,urban,hhsize_2,owned_outright
71774026,urban,hhsize_4,owned_outright
71780826,urban,hhsize_1,private_rented
71794426,urban,hhsize_1,owned_outright
71801226,urban,hhsize_2,owned_outright
71808026,urban,hhsize_2,owned_outright
71821626,urban,hhsize_1,owned_outright
71828426,urban,hhsize_4,owned_mortgage
71842026,rural,hhsize_4,owned_outright
71848826,urban,hhsize_1,owned_outright
71855626,rural,hhsize_2,owned_outright
71862426,urban,hhsize_2,owned_outright
71869226,urban,hhsize_1,owned_mortgage
71882826,urban,hhsize_2,owned_outright
71889626,urban,hhsize_4,owned_mortgage
71896426,urban,hhsize_4,owned_mortgage
71903226,urban,hhsize_1,social_rented
71910026,urban,hhsize_2,owned_outright
71916826,urban,hhsize_1,owned_outright
71923626,urban,hhsize_2,owned_outright
71930426,urban,hhsize_1,owned_outright
71944026,urban,hhsize_2,owned_outright
71957626,rural,hhsize_2,owned_outright
71971226,rural,hhsize_1,owned_outright
71978026,rural,hhsize_1,private_rented
