id,Age%16-24,Age%25-34,Age%35-44,Age%45-54,Age%55-64,Age%65-74,Sex%m,Sex%f
1,0,1,0,0,0,0,1,0
2,0,0,0,0,1,0,0,1
3,0,0,0,1,0,0,0,1
4,0,0,0,1,0,0,1,0
5,0,0,0,1,0,0,1,0
6,0,0,0,1,0,0,0,1
7,1,0,0,0,0,0,0,1
8,0,0,0,0,0,1,1,0
9,0,0,1,0,0,0,0,1
10,0,1,0,0,0,0,1,0
11,1,0,0,0,0,0,0,1
12,1,0,0,0,0,0,0,1
13,0,0,0,0,0,1,0,1
14,0,0,0,0,1,0,0,1
15,0,1,0,0,0,0,1,0
16,0,0,0,0,0,1,0,1
17,0,1,0,0,0,0,0,1
18,0,0,0,0,1,0,0,1
19,0,0,0,0,1,0,1,0
20,0,0,0,1,0,0,1,0
21,0,0,0,0,0,1,1,0
22,0,1,0,0,0,0,1,0
23,0,0,0,0,1,0,1,0
24,0,0,0,0,0,1,1,0
25,0,0,0,0,1,0,0,1
26,0,0,0,0,0,1,1,0
27,0,0,0,0,0,1,1,0
28,0,0,0,1,0,0,1,0
29,0,0,0,0,0,1,0,1
30,0,0,1,0,0,0,0,1
31,0,0,1,0,0,0,1,0
32,0,0,0,0,1,0,1,0
33,0,0,0,0,0,1,1,0
34,0,0,0,0,0,1,1,0
35,0,0,0,0,0,1,0,1
36,0,0,0,0,0,1,1,0
37,0,0,0,1,0,0,0,1
38,0,0,0,0,0,1,0,1
39,0,0,0,0,0,1,0,1
40,0,0,0,0,1,0,1,0
41,0,0,0,1,0,0,1,0
42,0,1,0,0,0,0,1,0
43,0,1,0,0,0,0,0,1
44,0,0,0,1,0,0,1,0
45,0,0,0,1,0,0,1,0
46,0,0,1,0,0,0,0,1
47,0,0,0,1,0,0,1,0
48,1,0,0,0,0,0,0,1
49,0,0,1,0,0,0,0,1
50,0,0,0,0,1,0,1,0
51,0,0,0,0,0,1,0,1
52,1,0,0,0,0,0,0,1
53,0,0,0,0,0,1,0,1
54,0,0,0,0,1,0,1,0
55,0,0,0,0,1,0,1,0
56,0,0,0,0,0,1,1,0
57,1,0,0,0,0,0,1,0
58,0,0,0,0,1,0,0,1
59,1,0,0,0,0,0,0,1
60,1,0,0,0,0,0,0,1
61,0,0,0,1,0,0,0,1
62,0,1,0,0,0,0,0,1
63,0,0,1,0,0,0,0,1
64,0,0,0,0,1,0,0,1
65,0,0,0,1,0,0,0,1
66,0,0,0,0,1,0,0,1
67,0,0,0,0,1,0,0,1
68,0,0,0,1,0,0,0,1
69,0,1,0,0,0,0,0,1
70,0,0,1,0,0,0,1,0
71,0,0,0,0,0,1,0,1
72,0,0,0,1,0,0,1,0
73,0,0,0,1,0,0,0,1
74,0,0,1,0,0,0,1,0
75,0,0,0,1,0,0,0,1
76,0,0,0,1,0,0,1,0
77,0,0,1,0,0,0,1,0
78,0,0,0,0,0,1,1,0
79,1,0,0,0,0,0,1,0
80,1,0,0,0,0,0,1,0
81,0,0,0,1,0,0,0,1
82,0,0,0,0,0,1,1,0
83,0,0,0,1,0,0,1,0
84,0,0,0,0,1,0,0,1
85,1,0,0,0,0,0,0,1
86,1,0,0,0,0,0,0,1
87,1,0,0,0,0,0,1,0
88,0,0,0,1,0,0,1,0
89,0,1,0,0,0,0,0,1
90,0,0,0,0,1,0,0,1
91,1,0,0,0,0,0,1,0
92,0,0,0,0,1,0,1,0
93,0,0,0,0,1,0,1,0
94,0,0,0,1,0,0,0,1
95,0,0,0,0,1,0,0,1
96,0,1,0,0,0,0,0,1
97,1,0,0,0,0,0,0,1
98,0,0,0,0,0,1,0,1
99,0,0,1,0,0,0,1,0
100,0,0,1,0,0,0,0,1
101,1,0,0,0,0,0,1,0
102,0,1,0,0,0,0,0,1
103,0,0,0,1,0,0,1,0
104,0,0,0,1,0,0,0,1
105,0,0,0,1,0,0,0,1
106,1,0,0,0,0,0,1,0
107,0,0,0,1,0,0,0,1
108,1,0,0,0,0,0,0,1
109,0,0,0,1,0,0,1,0
110,0,0,0,0,1,0,0,1
111,0,1,0,0,0,0,1,0
112,0,0,0,1,0,0,0,1
113,0,0,1,0,0,0,0,1
114,0,1,0,0,0,0,1,0
115,0,0,0,1,0,0,1,0
116,0,1,0,0,0,0,1,0
117,1,0,0,0,0,0,0,1
118,0,0,0,1,0,0,0,1
119,0,0,0,1,0,0,0,1
120,0,0,1,0,0,0,0,1
121,0,1,0,0,0,0,0,1
122,0,0,0,1,0,0,0,1
123,0,0,0,1,0,0,0,1
124,0,0,0,1,0,0,0,1
125,0,0,0,1,0,0,0,1
126,0,0,0,1,0,0,0,1
127,0,0,0,1,0,0,0,1
128,0,0,0,0,0,1,1,0
129,0,0,0,1,0,0,0,1
130,0,0,0,1,0,0,0,1
131,0,0,1,0,0,0,0,1
132,0,0,0,0,1,0,1,0
133,0,0,0,1,0,0,0,1
134,1,0,0,0,0,0,0,1
135,0,0,0,0,1,0,1,0
136,0,0,1,0,0,0,0,1
137,0,0,0,1,0,0,0,1
138,0,0,0,0,1,0,1,0
139,0,0,1,0,0,0,0,1
140,0,0,1,0,0,0,1,0
141,0,0,0,0,1,0,0,1
142,0,0,1,0,0,0,0,1
143,0,0,0,0,0,1,1,0
144,0,0,0,1,0,0,0,1
145,0,0,1,0,0,0,1,0
146,0,0,0,1,0,0,1,0
147,0,0,0,0,0,1,1,0
148,0,0,0,1,0,0,1,0
149,0,0,0,1,0,0,0,1
150,0,0,0,0,1,0,1,0
151,0,0,1,0,0,0,1,0
152,0,0,0,0,1,0,1,0
153,0,0,0,1,0,0,1,0
154,0,0,0,0,1,0,0,1
155,0,0,1,0,0,0,0,1
156,0,0,1,0,0,0,1,0
157,0,1,0,0,0,0,1,0
158,0,0,1,0,0,0,1,0
159,0,1,0,0,0,0,1,0
160,0,0,1,0,0,0,1,0
161,0,0,1,0,0,0,1,0
162,0,0,0,0,0,1,0,1
163,0,0,0,1,0,0,0,1
164,0,0,0,1,0,0,0,1
165,0,0,0,0,1,0,1,0
166,0,0,1,0,0,0,0,1
167,1,0,0,0,0,0,1,0
168,0,0,0,1,0,0,0,1
169,0,0,1,0,0,0,0,1
170,0,0,0,0,0,1,0,1
171,0,0,1,0,0,0,0,1
172,0,0,0,1,0,0,0,1
173,0,0,0,1,0,0,0,1
174,0,1,0,0,0,0,0,1
175,0,0,0,0,1,0,0,1
176,0,0,0,0,0,1,1,0
177,0,1,0,0,0,0,0,1
178,0,1,0,0,0,0,1,0
179,0,0,0,0,1,0,1,0
180,0,0,0,0,1,0,0,1
181,0,1,0,0,0,0,0,1
182,1,0,0,0,0,0,1,0
183,0,0,0,0,1,0,0,1
184,0,1,0,0,0,0,0,1
185,0,0,1,0,0,0,0,1
186,0,1,0,0,0,0,0,1
187,0,0,1,0,0,0,0,1
188,0,0,1,0,0,0,0,1
189,0,0,0,0,1,0,1,0
190,0,0,1,0,0,0,1,0
191,0,0,1,0,0,0,0,1
192,0,0,0,0,1,0,1,0
193,0,0,1,0,0,0,0,1
194,0,0,0,1,0,0,0,1
195,1,0,0,0,0,0,1,0
196,0,0,0,0,1,0,1,0
197,0,0,0,0,0,1,1,0
198,0,0,0,1,0,0,1,0
199,0,0,0,0,0,1,1,0
200,0,0,0,0,0,1,0,1
201,1,0,0,0,0,0,1,0
202,0,0,0,1,0,0,0,1
203,0,0,0,1,0,0,1,0
204,0,0,0,0,1,0,1,0
205,0,0,0,0,1,0,0,1
206,0,0,1,0,0,0,1,0
207,0,0,0,1,0,0,0,1
208,0,0,1,0,0,0,0,1
209,0,0,1,0,0,0,1,0
210,0,0,0,0,1,0,0,1
211,0,0,0,1,0,0,0,1
212,0,0,0,1,0,0,1,0
213,0,0,0,0,1,0,1,0
214,0,1,0,0,0,0,0,1
215,0,0,0,0,0,1,1,0
216,0,0,0,0,0,1,1,0
217,0,1,0,0,0,0,1,0
218,0,0,0,1,0,0,0,1
219,0,0,0,1,0,0,0,1
220,0,0,0,0,1,0,0,1
221,0,0,0,1,0,0,0,1
222,0,0,0,1,0,0,1,0
223,1,0,0,0,0,0,0,1
224,0,0,0,0,0,1,0,1
225,0,0,1,0,0,0,1,0
226,0,0,0,0,0,1,0,1
227,0,0,0,0,1,0,1,0
228,0,1,0,0,0,0,0,1
229,0,0,1,0,0,0,1,0
230,0,0,0,0,1,0,0,1
231,0,0,0,0,1,0,0,1
232,0,1,0,0,0,0,1,0
233,0,1,0,0,0,0,0,1
234,0,0,1,0,0,0,1,0
235,0,0,0,1,0,0,0,1
236,0,1,0,0,0,0,0,1
237,1,0,0,0,0,0,0,1
238,0,0,0,0,1,0,1,0
239,0,0,0,0,1,0,0,1
240,0,0,0,0,0,1,0,1
241,0,0,1,0,0,0,0,1
242,0,0,0,1,0,0,0,1
243,0,1,0,0,0,0,0,1
244,0,0,0,1,0,0,0,1
245,0,0,0,0,0,1,0,1
246,0,0,0,1,0,0,1,0
247,1,0,0,0,0,0,0,1
248,0,0,0,1,0,0,1,0
249,0,0,0,1,0,0,0,1
250,0,0,1,0,0,0,0,1
251,1,0,0,0,0,0,1,0
252,0,0,0,0,1,0,0,1
253,0,0,0,1,0,0,1,0
254,0,1,0,0,0,0,0,1
255,0,1,0,0,0,0,1,0
256,0,0,0,0,0,1,0,1
257,0,0,0,1,0,0,0,1
258,0,0,1,0,0,0,1,0
259,0,1,0,0,0,0,1,0
260,0,1,0,0,0,0,1,0
261,0,0,1,0,0,0,0,1
262,0,1,0,0,0,0,0,1
263,0,0,0,1,0,0,1,0
264,1,0,0,0,0,0,1,0
265,0,1,0,0,0,0,1,0
266,0,0,1,0,0,0,1,0
267,0,0,0,1,0,0,0,1
268,0,1,0,0,0,0,0,1
269,0,1,0,0,0,0,1,0
270,0,1,0,0,0,0,0,1
271,0,0,1,0,0,0,1,0
272,0,0,0,0,1,0,0,1
273,0,1,0,0,0,0,1,0
274,0,0,0,1,0,0,0,1
275,0,0,0,0,1,0,1,0
276,0,0,1,0,0,0,0,1
277,0,1,0,0,0,0,1,0
278,0,0,0,1,0,0,0,1
279,0,0,0,1,0,0,1,0
