variable,category,count
age_group,65+,26
age_group,55-64,22
age_group,45-54,15
age_group,25-34,15
age_group,35-44,15
age_group,18-24,10
gender,Female,55
gender,Male,48
gender,Other,1
education,Bachelor's,37
education,HS Graduate,30
education,Some College,22
education,Master's,8
education,Doctorate,7
income_bracket,60k-80k,33
income_bracket,80k-100k,26
income_bracket,40k-60k,19
income_bracket,20k-40k,12
income_bracket,100k+,11
income_bracket,<20k,3
employment_status,Employed,62
employment_status,Retired,34
employment_status,Student,5
employment_status,Unemployed,3
