respondent_id,age,gender,education,income_bracket,employment_status,zip_code,has_children,age_group
ID_0001,42,Male,HS Graduate,40k-60k,Employed,63388,False,35-44
ID_0002,66,Female,Doctorate,20k-40k,Retired,45217,True,65+
ID_0003,61,Male,HS Graduate,20k-40k,Employed,71626,False,55-64
ID_0004,36,Female,Bachelor's,100k+,Student,82771,False,35-44
ID_0005,60,Female,HS Graduate,100k+,Student,94865,True,55-64
ID_0006,79,Female,Bachelor's,40k-60k,Employed,68801,False,65+
ID_0007,67,Male,Bachelor's,20k-40k,Retired,33612,False,65+
ID_0008,30,Female,Master's,20k-40k,Employed,55638,True,25-34
ID_0009,63,Male,Bachelor's,40k-60k,Employed,08041,True,55-64
ID_0010,78,Female,Master's,40k-60k,Student,91125,False,65+
ID_0011,29,Female,Some College,60k-80k,Employed,77114,False,25-34
ID_0012,32,Male,Bachelor's,80k-100k,Employed,00834,False,25-34
ID_0013,40,Female,Some College,60k-80k,Employed,56989,False,35-44
ID_0014,70,Male,Less than HS,20k-40k,Retired,90840,False,65+
ID_0015,57,Male,Bachelor's,20k-40k,Employed,30165,False,55-64
ID_0016,19,Male,Master's,80k-100k,Retired,62839,True,18-24
ID_0017,57,Female,HS Graduate,60k-80k,Unemployed,96489,False,55-64
ID_0018,40,Female,Less than HS,20k-40k,Employed,64651,False,35-44
ID_0019,77,Female,HS Graduate,20k-40k,Retired,31198,False,65+
ID_0020,76,Female,Master's,80k-100k,Retired,61932,True,65+
ID_0021,22,Female,HS Graduate,20k-40k,Employed,53003,False,18-24
ID_0022,51,Male,HS Graduate,60k-80k,Retired,79876,False,45-54
ID_0023,27,Female,Less than HS,40k-60k,Employed,34526,False,25-34
ID_0024,44,Male,HS Graduate,<20k,Retired,84990,True,35-44
ID_0025,72,Female,Bachelor's,60k-80k,Retired,28669,False,65+
ID_0026,59,Male,Doctorate,<20k,Retired,05840,False,55-64
ID_0027,21,Female,HS Graduate,20k-40k,Student,10687,False,18-24
ID_0028,21,Female,HS Graduate,20k-40k,Employed,74609,True,18-24
ID_0029,25,Female,Master's,60k-80k,Retired,74608,False,18-24
ID_0030,23,Male,Master's,80k-100k,Employed,08719,False,18-24
ID_0031,42,Male,HS Graduate,20k-40k,Unemployed,93598,False,35-44
ID_0032,44,Male,Less than HS,80k-100k,Employed,35580,False,35-44
ID_0033,64,Female,Doctorate,60k-80k,Student,49851,True,55-64
ID_0034,67,Female,Bachelor's,40k-60k,Retired,08083,False,65+
ID_0035,70,Male,Master's,40k-60k,Retired,84064,True,65+
ID_0036,71,Male,HS Graduate,60k-80k,Retired,23407,True,65+
ID_0037,57,Male,Bachelor's,20k-40k,Student,56343,True,55-64
ID_0038,37,Female,Bachelor's,<20k,Employed,96441,False,35-44
ID_0039,44,Male,Master's,40k-60k,Retired,63278,False,35-44
ID_0040,24,Female,Doctorate,100k+,Student,54123,False,18-24
ID_0041,76,Male,HS Graduate,80k-100k,Student,24559,False,65+
ID_0042,40,Female,Bachelor's,20k-40k,Retired,21132,True,35-44
ID_0043,37,Female,HS Graduate,40k-60k,Employed,66080,False,35-44
ID_0044,66,Male,Bachelor's,40k-60k,Retired,69923,True,65+
ID_0045,68,Female,Bachelor's,40k-60k,Student,09599,False,65+
ID_0046,51,Male,Master's,80k-100k,Employed,03006,False,45-54
ID_0047,46,Female,HS Graduate,40k-60k,Employed,90295,False,45-54
ID_0048,78,Female,HS Graduate,<20k,Retired,58031,False,65+
ID_0049,61,Male,Less than HS,80k-100k,Employed,37003,True,55-64
ID_0050,68,Female,HS Graduate,<20k,Retired,61273,True,65+
ID_0051,22,Female,Some College,60k-80k,Retired,11729,False,18-24
ID_0052,44,Female,Master's,80k-100k,Employed,28421,False,35-44
ID_0053,29,Male,Some College,20k-40k,Student,18250,False,25-34
ID_0054,34,Male,Bachelor's,40k-60k,Employed,91258,True,25-34
ID_0055,54,Male,Master's,<20k,Student,33661,False,45-54
ID_0056,51,Female,Master's,80k-100k,Employed,55909,True,45-54
ID_0057,47,Female,Some College,60k-80k,Retired,55078,True,45-54
ID_0058,53,Female,HS Graduate,20k-40k,Employed,50695,True,45-54
ID_0059,23,Male,HS Graduate,20k-40k,Unemployed,67211,False,18-24
ID_0060,49,Female,Some College,60k-80k,Student,18980,True,45-54
ID_0061,49,Female,Bachelor's,20k-40k,Employed,15455,False,45-54
ID_0062,26,Female,Bachelor's,20k-40k,Student,40703,True,25-34
ID_0063,75,Male,Bachelor's,40k-60k,Retired,71954,False,65+
ID_0064,39,Male,Master's,60k-80k,Unemployed,83425,False,35-44
ID_0065,27,Male,Bachelor's,20k-40k,Student,87810,True,25-34
ID_0066,46,Male,Doctorate,<20k,Employed,55727,False,45-54
ID_0067,28,Female,Master's,80k-100k,Employed,01355,False,25-34
ID_0068,45,Female,HS Graduate,20k-40k,Employed,46714,False,35-44
ID_0069,19,Female,Less than HS,40k-60k,Employed,78724,True,18-24
ID_0070,73,Male,Some College,60k-80k,Employed,07389,False,65+
ID_0071,38,Female,Bachelor's,20k-40k,Unemployed,31174,False,35-44
ID_0072,74,Female,Bachelor's,60k-80k,Retired,08818,False,65+
ID_0073,48,Male,HS Graduate,40k-60k,Employed,79545,False,45-54
ID_0074,75,Female,Master's,100k+,Student,31988,False,65+
ID_0075,58,Female,HS Graduate,40k-60k,Employed,45472,False,55-64
ID_0076,69,Female,Master's,80k-100k,Employed,71247,False,65+
ID_0077,78,Male,Some College,60k-80k,Employed,15817,True,65+
ID_0078,34,Female,Less than HS,20k-40k,Employed,55082,False,25-34
ID_0079,44,Other,HS Graduate,<20k,Retired,53854,False,35-44
ID_0080,47,Female,HS Graduate,<20k,Retired,13992,False,45-54
ID_0081,58,Female,Less than HS,100k+,Employed,58297,False,55-64
ID_0082,74,Male,Bachelor's,100k+,Employed,80504,True,65+
ID_0083,25,Female,HS Graduate,<20k,Retired,54953,True,18-24
ID_0084,54,Female,Bachelor's,40k-60k,Retired,48373,True,45-54
ID_0085,22,Female,HS Graduate,20k-40k,Employed,01173,True,18-24
ID_0086,43,Male,Less than HS,100k+,Student,77798,False,35-44
ID_0087,23,Female,Bachelor's,20k-40k,Employed,96324,False,18-24
ID_0088,33,Female,Some College,40k-60k,Employed,38763,False,25-34
ID_0089,18,Female,Bachelor's,20k-40k,Employed,54506,True,
ID_0090,26,Female,HS Graduate,20k-40k,Retired,20305,True,25-34
ID_0091,38,Female,Less than HS,20k-40k,Student,67297,False,35-44
ID_0092,24,Female,Some College,40k-60k,Employed,29079,True,18-24
ID_0093,60,Female,Some College,40k-60k,Unemployed,62879,False,55-64
ID_0094,32,Male,Less than HS,20k-40k,Employed,80740,True,25-34
ID_0095,41,Male,Bachelor's,<20k,Employed,54422,True,35-44
ID_0096,22,Female,Master's,40k-60k,Employed,90694,False,18-24
ID_0097,68,Female,HS Graduate,80k-100k,Retired,94552,False,65+
ID_0098,55,Female,Master's,60k-80k,Employed,02430,True,45-54
ID_0099,72,Male,Less than HS,60k-80k,Employed,26951,False,65+
ID_0100,46,Male,Bachelor's,20k-40k,Employed,26541,True,45-54
ID_0101,63,Female,Bachelor's,60k-80k,Unemployed,56170,True,55-64
ID_0102,69,Female,HS Graduate,40k-60k,Retired,56908,False,65+
